uf,municipio,logradouro,complemento,bairro,telefone,id
SP,Ubatuba,Rua Cunhambebe,999 -,Centro,(12) 3833-2992,35244
SP,Sorocaba,Rua Brigadeiro Tobias,413 -,Centro,43-33717473 31 21260820,1051707
SP,Taboao da Serra,Rua Henrique de Moraes Camargo,300 -,Jardim Santa Cecília,00,9659
SP,Sorocaba,Rua Adolfo Claro de Almeida,65 -,Jardim das Magnólias,15 3322 1353,1059829
SP,Sao Joaquim da Barra,Rua Voluntário Geraldo,936 -,Centro,(16) 3818-2001,9170
SP,Sao Jose dos Campos,Rua Francisco Paes,89 -,Centro,(12) 3797 7003,1059406
SP,Sao Jose dos Campos,Avenida Barão do Rio Branco,882 -,Jardim Esplanada,(12) 3947 2236,660102
SP,Sertaozinho,Rua Jordão Borghetti,1260 -,Alto da Semar,(16) 3946 4900,658558
SP,Sao Jose dos Campos,Praça Maria Cézar Sawaya Giana,64 -,Vila Igualdade,(12) 30338162,24667
SP,Sao Jose dos Campos,Rua Teopompo de Vasconcelos,57 -,Vila Dayana,(12) 3512-9291/3922-9360,18467
SP,Sao Jose dos Campos,"Av. Shishima Hifumi, Nº 2911, Bairro Urbanova",2911 -,Urbanova,(12) 39471000,2000174
SP,Sao Jose dos Campos,Rodovia Presidente Dutra,"Km 157,5 - Pista Sul",Jardim Limoeiro,0,372
SP,Taboao da Serra,Rodovia Regis Bitencourt,199 -,Centro,43-33717473 31 21260820,2008396
SP,Sao Jose dos Campos,Avenida Rodrigo Reis Tuy,1200 -,Jardim Serimbura,(12) 3904-2100,10496
SP,Valparaiso,Rua Dr. Euripedes Leite Bastos,116 -,Agrovila,43-33717473 31 21260820,2008387
SP,Itapetininga,Rua Izolina de Morais Rosa,727 -,Vila Nastri,(15) 3275-8700,658326
SP,Sao Jose dos Campos,Rua Paulo Beker,07 -,Vila Adyana,12 3341 4636,6596
SP,Sao Jose do Rio Preto,Rua Yvette Gabriel Atique,45 -,Boa Vista,(17) 3211 3000,574
SP,Sao Jose do Rio Preto,Avenida Romeu Strazzi,170 -,Vila Sinibaldi,-,1073130
SP,Sao Jose do Rio Preto,Rua Pedro Amaral,2475 -,Boa Vista,(17) 3235-5589,24669
SP,Sertaozinho,Rua Dr. Olidair Ambrosio,1925 -,Centro,(16)3947-3138,9193
SP,Sao Jose do Rio Preto,Avenida Presidente Juscelino Kubitschek de Oliveira,S/n -,Jardim Tarraf Ii,17-21375000,371
